2026-07-19 10:36:13 | DEBUG    | src.agent.skills.base | src/agent/skills/base.py:342 | Registered skill: expectation_repricing (预期重估)
2026-07-19 10:36:13 | DEBUG    | src.agent.skills.base | src/agent/skills/base.py:342 | Registered skill: growth_quality (成长质量)
2026-07-19 10:36:13 | DEBUG    | src.agent.skills.base | src/agent/skills/base.py:342 | Registered skill: hot_theme (热点题材)
2026-07-19 10:36:13 | DEBUG    | src.agent.skills.base | src/agent/skills/base.py:342 | Registered skill: ma_golden_cross (均线金叉)
2026-07-19 10:36:13 | DEBUG    | src.agent.skills.base | src/agent/skills/base.py:342 | Registered skill: one_yang_three_yin (一阳夹三阴)
2026-07-19 10:36:13 | DEBUG    | src.agent.skills.base | src/agent/skills/base.py:342 | Registered skill: shrink_pullback (缩量回踩)
2026-07-19 10:36:13 | DEBUG    | src.agent.skills.base | src/agent/skills/base.py:342 | Registered skill: volume_breakout (放量突破)
2026-07-19 10:36:13 | DEBUG    | src.agent.skills.base | src/agent/skills/base.py:342 | Registered skill: wave_theory (波浪理论)
2026-07-19 10:36:13 | INFO     | src.agent.skills.base | src/agent/skills/base.py:360 | Loaded 15 built-in skills from /workspace/new/daily_stock_analysis/strategies
2026-07-19 10:36:13 | INFO     | src.agent.factory | src/agent/factory.py:236 | [AgentFactory] SkillManager prototype cached (15 skills)
2026-07-19 10:36:13 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 10.3.5.102:0 - "GET /stocks.index.json?_t=495682 HTTP/1.1" 200
2026-07-19 10:36:13 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 10.3.5.62:0 - "GET /api/v1/analysis/tasks/stream HTTP/1.1" 200
2026-07-19 10:36:13 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.128.65:0 - "GET /api/v1/agent/skills HTTP/1.1" 200
2026-07-19 10:36:13 | DEBUG    | src.services.task_queue | src/services/task_queue.py:924 | [TaskQueue] 新订阅者加入，当前订阅者数: 1
2026-07-19 10:36:13 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.128.1:0 - "GET /api/v1/system/config/setup/status HTTP/1.1" 200
2026-07-19 10:36:13 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 10.3.5.62:0 - "GET /api/v1/analysis/tasks?status=pending,processing,cancel_requested&limit=100 HTTP/1.1" 200
2026-07-19 10:36:13 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 10.3.5.102:0 - "GET /api/v1/stocks/watchlist HTTP/1.1" 200
2026-07-19 10:36:13 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.128.65:0 - "GET /api/v1/analysis/tasks?status=pending,processing,cancel_requested&limit=100 HTTP/1.1" 200
2026-07-19 10:36:14 | INFO     | src.storage | src/storage.py:1427 | [DecisionSignal] decision_profile migration stats: candidate_count=0 backfilled_count=0 guard_skipped_count=0 missing_metadata_count=0 missing_profile_count=0 invalid_json_count=0 non_object_count=0 invalid_profile_count=0 skipped_existing_profile_count=0
2026-07-19 10:36:14 | INFO     | src.storage | src/storage.py:1221 | 数据库初始化完成: sqlite:////workspace/new/daily_stock_analysis/data/stock_analysis.db
2026-07-19 10:36:14 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.128.1:0 - "GET /api/v1/history/stocks?start_date=2026-04-20&end_date=2026-07-19 HTTP/1.1" 200
2026-07-19 10:36:14 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.128.1:0 - "GET /api/v1/history?page=1&limit=20&start_date=2026-06-19&end_date=2026-07-19 HTTP/1.1" 200
2026-07-19 10:36:15 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 10.3.5.102:0 - "GET /api/v1/history?page=1&limit=1&stock_code=600519 HTTP/1.1" 200
2026-07-19 10:36:15 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.128.65:0 - "GET /api/v1/history?page=1&limit=10&stock_code=MARKET&report_type=market_review HTTP/1.1" 200
2026-07-19 10:36:15 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.128.1:0 - "GET /api/v1/history?page=1&limit=1&stock_code=300750 HTTP/1.1" 200
2026-07-19 10:36:15 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.128.65:0 - "GET /api/v1/history?page=1&limit=1&stock_code=002594 HTTP/1.1" 200
2026-07-19 10:36:17 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 10.3.5.102:0 - "GET /assets/SettingsPage-CuIzBvFn.js HTTP/1.1" 200
2026-07-19 10:36:17 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 10.3.5.62:0 - "GET /assets/SettingsAlert-BaT3RFIr.js HTTP/1.1" 200
2026-07-19 10:36:17 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.128.1:0 - "GET /assets/Select-CLA9rSG6.js HTTP/1.1" 200
2026-07-19 10:36:17 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 10.3.5.62:0 - "GET /api/v1/system/config/setup/status HTTP/1.1" 200
2026-07-19 10:36:17 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.128.1:0 - "GET /api/v1/system/config?include_schema=true HTTP/1.1" 200
2026-07-19 10:36:18 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 10.3.5.102:0 - "GET / HTTP/1.1" 200
2026-07-19 10:36:24 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.128.65:0 - "GET /api/v1/system/scheduler/status HTTP/1.1" 200
2026-07-19 10:36:33 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.128.65:0 - "GET /settings HTTP/1.1" 200
2026-07-19 10:36:33 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.128.65:0 - "GET /assets/index-5DEovjUw.css HTTP/1.1" 200
2026-07-19 10:36:33 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 192.168.128.1:0 - "GET /assets/index-BzwGZG0b.js HTTP/1.1" 200
2026-07-19 10:36:33 | INFO     | uvicorn.access | /root/miniconda/envs/dsa-dev/lib/python3.11/site-packages/uvicorn/protocols/http/httptools_impl.py:485 | 10.3.5.62:0 - "GET /assets/vendor-DfNvL7Zg.js HTTP/1.1" 200
